customer_id,name,city,age,city_tier,occupation,declared_monthly_income,tenure_months,existing_products,digital_engagement_score,loan_product_interest,true_monthly_income,loan_converted,conversion_probability,cashflow_cv_label,existing_emi_ratio_label,monthly_credit_mean,monthly_credit_std,cashflow_cv,has_salary_credit,salary_regularity_score,estimated_salary,avg_monthly_income_proxy,avg_monthly_emi,emi_count,emi_to_income_ratio,recency_score,frequency_score,monetary_score,spend_concentration_hhi,has_auto_spend,has_realestate_spend,has_wedding_spend,has_education_spend,has_home_improvement_spend,has_jewellery_spend,total_monthly_debit,total_debit,avg_app_logins,avg_emi_calc_views,avg_loan_page_visits,total_product_views,engagement_trend,digital_engagement_composite,occupation_encoded,city_tier_encoded,interest_personal_loan,interest_home_loan,interest_mortgage_loan,interest_auto_loan,lead_score,lead_score_raw,estimated_income,income_confidence_band,income_deviation_pct,income_deviation_flag,loan_readiness_score,eligible_loan_amount,risk_flag_count,recommendation,explanation_summary
IDBI100000,Aryan Maharaj,Kochi,42,Tier 2,self_employed,128268.38,6,0,0.3456,Auto Loan,193639.69,0,0.001,0.2001,0.0,221429.58916666664,44313.5753144247,0.2001249041792267,0,0.5957,89330.45,221429.58916666664,0.0,0.0,0.0,0.6923076923076923,0.2928870292887029,0.4288756249521736,0.1084,0,0,0,1,0,0,134545.17,1614541.99,5.833333333333333,1.0,0.9166666666666666,1,0.1316,0.26280515917899233,1,1,0,0,0,1,0.0,0.0,193079.23,High,-33.6,1,45.5,2000000.0,2,Review Required,Mixed signals detected for Auto Loan eligibility — review recommended
IDBI100001,Udant Dewan,Delhi,33,Tier 1,salaried,176820.31,26,1,0.4659,Home Loan,180350.82,0,0.001,0.374,0.1213,240367.08333333334,89908.97770205417,0.37404862785380344,1,1.0,240367.08,180275.3125,21882.341666666664,1.0,0.12138290797119913,1.0,0.3472803347280335,0.3460447989639421,0.1473,0,1,0,1,0,0,222678.37,2672140.4899999998,9.583333333333334,0.9166666666666666,1.75,2,0.0923,0.3515180540615361,2,2,0,1,0,0,0.7,0.007017543859649123,180061.38,High,-1.8,0,45.6,6815000.0,1,Review Required,Mixed signals detected for Home Loan eligibility — review recommended
IDBI100002,Gagan Sami,Jaipur,31,Tier 2,self_employed,173064.28,33,0,0.3648,Personal Loan,279776.64,0,0.001,0.2638,0.0,344741.04916666663,90953.57645790941,0.2638315822202464,0,0.5611,146309.36,344741.04916666663,0.0,0.0,0.0,1.0,0.5188284518828452,0.6770634419400416,0.0955,0,0,1,1,0,0,221746.55,2660958.65,7.833333333333333,1.25,1.25,7,-0.2419,0.3087948946057107,1,1,1,0,0,0,4.6,0.045679012345679004,279510.56,High,-38.1,1,51.2,2500000.0,1,Review Required,Mixed signals detected for Personal Loan eligibility — review recommended
IDBI100003,Ayushman Chander,Moradabad,32,Tier 3,salaried,139349.0,13,2,0.6857,Personal Loan,137120.48,0,0.0545,0.3544,0.1639,206687.6325,73250.45442385749,0.3544017294980506,1,1.0,206687.63,137791.755,22476.180833333332,1.5833333333333333,0.1631170227371974,0.9230769230769231,0.2175732217573222,0.2605385419315172,0.1104,0,0,0,1,0,0,118045.91,1416550.93,14.833333333333334,2.1666666666666665,3.0833333333333335,9,0.2165,0.598732957960927,2,0,1,0,0,0,5.4,0.05383659521590556,139129.61,High,0.2,0,44.8,2117000.0,1,Review Required,Active digital banking engagement (score: 0.60) + Frequent loan product page visits (3.1/month) indicate interest → strong Personal Loan intent
IDBI100004,Viraj Tiwari,Chennai,27,Tier 1,self_employed,69827.15,11,1,0.3983,Personal Loan,94017.81,0,0.001,0.4404,0.1095,107760.18666666666,47461.47179090546,0.4404360576853628,0,0.6092,37723.89,107760.18666666666,10295.436666666666,1.0,0.095540263850075,1.0,0.5146443514644351,0.20009428650406555,0.1198,0,0,0,1,0,0,81429.85,977158.21,7.916666666666667,1.0,2.4166666666666665,8,0.2143,0.37919620007118565,1,2,1,0,0,0,0.0,0.0,95281.52,Low,-26.7,1,26.7,1679000.0,4,Not Recommended,Mixed signals detected for Personal Loan eligibility — review recommended
IDBI100005,Rushil Saini,Jodhpur,29,Tier 3,self_employed,130196.0,3,1,0.379,Personal Loan,177776.15,0,0.001,0.3583,0.0991,187453.21250000002,67164.74415497399,0.3583013769634595,0,0.5405,81847.03,187453.2125,17619.7775,1.0,0.09399560170247816,0.6153846153846154,0.5774058577405857,0.36049169085507055,0.09,0,0,1,1,0,0,156725.15,1880701.8,8.916666666666666,1.3333333333333333,1.9166666666666667,4,-0.1159,0.37347601459305546,1,0,1,0,0,0,0.0,0.0,177024.86,High,-26.5,1,42.5,2500000.0,3,Review Required,Mixed signals detected for Personal Loan eligibility — review recommended
IDBI100006,Saumya Mall,Nagpur,47,Tier 2,self_employed,246331.58,26,1,0.1365,Home Loan,308872.65,0,0.001,0.2282,0.0899,355589.11166666663,81127.77720199109,0.2281503413356515,0,0.6872,113935.16,355589.11166666663,27754.91083333333,1.0,0.078053320314687,1.0,0.5564853556485355,0.6988972354124647,0.0966,0,0,0,1,0,0,244748.28,2936979.35,2.8333333333333335,0.4166666666666667,0.6666666666666666,2,-0.25,0.14483310923040418,1,1,0,1,0,0,0.0,0.0,308645.4,High,-20.2,1,47.4,10000000.0,1,Review Required,Mixed signals detected for Home Loan eligibility — review recommended
IDBI100007,Nathaniel Sami,Bengaluru,52,Tier 1,salaried,103880.35,6,4,0.5157,Home Loan,106111.33,0,0.001,0.3413,0.2132,126265.769,43098.28152551366,0.3413298938171727,1,1.0,126265.77,105221.47416666667,22622.594166666666,2.1666666666666665,0.21499978351218849,0.9230769230769231,0.33472803347280333,0.19498464370740404,0.1145,0,0,0,1,0,0,97867.96,1174415.52,11.0,1.25,1.8333333333333333,3,-0.3261,0.37977657676184445,2,2,0,1,0,0,1.7,0.016541353383458645,105534.41,High,-1.6,0,41.5,2866000.0,2,Review Required,Increasing digital engagement trend (+-33%) → strong Home Loan intent
IDBI100008,Arunima Dugal,Chandigarh,35,Tier 2,self_employed,163024.24,3,1,0.3975,Home Loan,172641.72,0,0.001,0.4171,0.0967,211222.12,88100.73827613085,0.4170999622394229,0,0.5126,84076.52,211222.12,16700.158333333333,1.0,0.07906443857931798,1.0,0.3598326359832636,0.4083311476631528,0.1043,0,1,0,1,0,0,166990.93,2003891.19,7.416666666666667,1.5,0.75,2,-0.1154,0.30056762259748476,1,1,0,1,0,0,0.0,0.0,172478.69,Low,-5.5,0,27.1,7019000.0,3,Not Recommended,Mixed signals detected for Home Loan eligibility — review recommended
IDBI100009,Gayathri Chaudry,Delhi,56,Tier 1,gig_worker,51732.84,10,1,0.4433,Auto Loan,48013.32,0,0.001,0.1976,0.0889,56528.71166666667,11172.705359588554,0.1976465592471086,0,0.6178,10841.57,56528.71166666667,4267.5475,1.0,0.07549345057011883,1.0,0.8661087866108786,0.09698117810912359,0.0931,0,0,0,1,0,0,37618.76,451425.13,9.166666666666666,0.5833333333333334,2.25,3,0.0448,0.34615993098948034,0,2,0,0,0,1,0.0,0.0,48048.06,High,7.7,0,45.1,915000.0,1,Review Required,Mixed signals detected for Auto Loan eligibility — review recommended
