customer_id,name,age,city,city_tier,occupation,true_monthly_income,declared_monthly_income,tenure_months,existing_products,digital_engagement_score,loan_product_interest,conversion_probability,loan_converted,cashflow_cv,existing_emi_ratio
IDBI100000,Aryan Maharaj,42,Kochi,Tier 2,self_employed,193639.69,128268.38,6,0,0.3456,Auto Loan,0.0474,0,0.2001,0.0
IDBI100001,Udant Dewan,33,Delhi,Tier 1,salaried,180350.82,176820.31,26,1,0.4659,Home Loan,0.0474,0,0.374,0.1213
IDBI100002,Gagan Sami,31,Jaipur,Tier 2,self_employed,279776.64,173064.28,33,0,0.3648,Personal Loan,0.0691,0,0.2638,0.0
IDBI100003,Ayushman Chander,32,Moradabad,Tier 3,salaried,137120.48,139349.0,13,2,0.6857,Personal Loan,0.0323,0,0.3544,0.1639
IDBI100004,Viraj Tiwari,27,Chennai,Tier 1,self_employed,94017.81,69827.15,11,1,0.3983,Personal Loan,0.011,0,0.4404,0.1095
IDBI100005,Rushil Saini,29,Jodhpur,Tier 3,self_employed,177776.15,130196.0,3,1,0.379,Personal Loan,0.009,0,0.3583,0.0991
IDBI100006,Saumya Mall,47,Nagpur,Tier 2,self_employed,308872.65,246331.58,26,1,0.1365,Home Loan,0.0266,0,0.2282,0.0899
IDBI100007,Nathaniel Sami,52,Bengaluru,Tier 1,salaried,106111.33,103880.35,6,4,0.5157,Home Loan,0.0356,0,0.3413,0.2132
IDBI100008,Arunima Dugal,35,Chandigarh,Tier 2,self_employed,172641.72,163024.24,3,1,0.3975,Home Loan,0.009,0,0.4171,0.0967
IDBI100009,Gayathri Chaudry,56,Delhi,Tier 1,gig_worker,48013.32,51732.84,10,1,0.4433,Auto Loan,0.018,0,0.1976,0.0889
IDBI100010,Lajita Chatterjee,32,Kochi,Tier 2,gig_worker,35639.0,22995.46,40,1,0.4875,Home Loan,0.0474,0,0.1242,0.0971
IDBI100011,Hemangini Lalla,28,Delhi,Tier 1,self_employed,156332.08,136169.27,3,1,0.216,Auto Loan,0.0067,0,0.3797,0.0959
IDBI100012,Tripti Yadav,34,Pune,Tier 1,gig_worker,28259.61,29005.76,10,3,0.777,Home Loan,0.1192,0,0.1667,0.1953
IDBI100013,Kritika Brar,25,Jaipur,Tier 2,gig_worker,22736.27,23469.55,54,1,0.8761,Home Loan,0.0759,0,0.191,0.0935
IDBI100014,Janaki Handa,48,Mumbai,Tier 1,self_employed,400000.0,277959.85,14,4,0.4873,Auto Loan,0.0522,0,0.2322,0.2153
IDBI100015,Chakradev Kari,46,Lucknow,Tier 2,self_employed,184073.31,147452.81,30,1,0.1906,Home Loan,0.0266,0,0.2941,0.1056
IDBI100016,Fariq Kaul,35,Hyderabad,Tier 1,gig_worker,62877.59,47592.71,122,3,0.6061,Auto Loan,0.0573,0,0.1942,0.1773
IDBI100017,Lajita Mall,44,Hyderabad,Tier 1,self_employed,400000.0,398408.62,5,4,0.3155,Auto Loan,0.0266,0,0.2343,0.2156
IDBI100018,Janya Gaba,38,Vadodara,Tier 2,self_employed,320886.77,275958.0,43,3,0.5659,Mortgage Loan,0.0198,0,0.3816,0.2131
IDBI100019,Isha Kadakia,44,Mumbai,Tier 1,salaried,61391.17,63371.65,16,0,0.7557,Personal Loan,0.3543,0,0.283,0.0
IDBI100020,Ekbal Garg,38,Vadodara,Tier 2,self_employed,149804.51,133391.41,134,1,0.2371,Personal Loan,0.0241,0,0.2544,0.088
IDBI100021,Nihal Shere,30,Hyderabad,Tier 1,salaried,250000.0,243756.07,28,2,0.6976,Home Loan,0.0573,0,0.3781,0.1647
IDBI100022,Anamika Kanda,35,Pune,Tier 1,salaried,250000.0,249336.79,6,1,0.6185,Mortgage Loan,0.1091,0,0.3486,0.0966
IDBI100023,Daksh Karnik,49,Nagpur,Tier 2,salaried,138205.33,132270.36,37,0,0.6833,Mortgage Loan,0.1419,0,0.3488,0.0
IDBI100024,Diya Rattan,59,Siliguri,Tier 3,salaried,51809.84,54199.26,84,0,0.5501,Personal Loan,0.0573,0,0.3772,0.0
IDBI100025,Dominic Kakar,32,Chennai,Tier 1,self_employed,317326.87,270228.31,75,2,0.5981,Home Loan,0.0691,0,0.2186,0.1921
IDBI100026,Simon Tata,50,Mumbai,Tier 1,gig_worker,32733.66,33226.23,20,2,0.6417,Auto Loan,0.1301,0,0.0852,0.1576
IDBI100027,Tara Dhar,41,Aligarh,Tier 3,self_employed,194427.59,165795.19,21,1,0.4827,Personal Loan,0.0573,0,0.3287,0.1134
IDBI100028,Liam Koshy,31,Guwahati,Tier 2,salaried,136895.16,142202.64,15,0,0.7524,Home Loan,0.168,0,0.3533,0.0
IDBI100029,Priya Rastogi,33,Udaipur,Tier 3,self_employed,229761.7,145333.36,3,2,0.3361,Home Loan,0.0134,0,0.4082,0.1455
IDBI100030,Theodore Devi,34,Chandigarh,Tier 2,salaried,137186.66,131957.35,4,4,0.7539,Personal Loan,0.0759,0,0.3765,0.1234
IDBI100031,Gavin Batta,38,Rourkela,Tier 3,salaried,224837.08,226047.93,125,3,0.5308,Home Loan,0.0392,0,0.3547,0.1771
IDBI100032,Michael Dutta,59,Kolkata,Tier 1,salaried,91787.38,91454.17,15,1,0.4356,Mortgage Loan,0.0241,0,0.3803,0.1092
IDBI100033,Devansh Rajan,45,Indore,Tier 2,gig_worker,80000.0,81571.07,3,0,0.8879,Mortgage Loan,0.1978,0,0.1302,0.0
IDBI100034,Upadhriti Wadhwa,41,Udaipur,Tier 3,self_employed,198725.52,156491.83,19,1,0.4213,Mortgage Loan,0.0431,0,0.271,0.1041
IDBI100035,Advay Contractor,33,Nagpur,Tier 2,salaried,187738.28,196262.56,33,1,0.2797,Mortgage Loan,0.0293,0,0.3554,0.1029
IDBI100036,Harini Choudhury,39,Aligarh,Tier 3,self_employed,400000.0,329750.08,75,1,0.5128,Personal Loan,0.0759,0,0.2545,0.117
IDBI100037,Radhika Dugar,48,Kolkata,Tier 1,salaried,57068.61,59375.08,15,2,0.6871,Auto Loan,0.1091,0,0.2932,0.1486
IDBI100038,Aarush Lall,21,Lucknow,Tier 2,gig_worker,42794.77,34046.27,14,1,0.901,Auto Loan,0.1824,0,0.1478,0.0835
IDBI100039,Yashica Cherian,58,Delhi,Tier 1,salaried,117207.27,111825.92,6,1,0.4822,Mortgage Loan,0.0474,0,0.2618,0.1204
IDBI100040,Yashica Issac,31,Rourkela,Tier 3,gig_worker,48968.62,26278.85,11,2,0.8937,Personal Loan,0.0998,0,0.1564,0.1623
IDBI100041,Kashvi Edwin,54,Delhi,Tier 1,salaried,121401.82,123991.93,81,2,0.9638,Home Loan,0.168,0,0.3697,0.1204
IDBI100042,Ekiya Suresh,31,Kolkata,Tier 1,gig_worker,25621.08,21935.63,40,2,0.8001,Personal Loan,0.1091,0,0.2151,0.1668
IDBI100043,Isaac Patil,29,Ranchi,Tier 2,self_employed,103931.44,77162.72,155,1,0.3822,Home Loan,0.018,0,0.3722,0.1096
IDBI100044,Wriddhish Bhardwaj,21,Bilaspur,Tier 3,salaried,193629.21,191651.39,125,2,0.8101,Mortgage Loan,0.1545,0,0.3567,0.1688
IDBI100045,Farhan Chada,47,Chennai,Tier 1,salaried,93949.41,93248.89,25,1,0.3324,Home Loan,0.0241,0,0.3615,0.1044
IDBI100046,Ekapad Walia,31,Mumbai,Tier 1,salaried,140797.58,134650.0,165,2,0.6442,Home Loan,0.0522,0,0.3514,0.1568
IDBI100047,Kabir Soman,43,Moradabad,Tier 3,gig_worker,39752.27,22840.79,47,1,0.7995,Personal Loan,0.1824,0,0.154,0.1025
IDBI100048,Alka Wable,32,Ahmedabad,Tier 1,salaried,184525.59,190330.3,39,1,0.4754,Home Loan,0.0474,1,0.3527,0.0965
IDBI100049,Siddharth Zacharia,21,Vadodara,Tier 2,salaried,115338.03,112249.42,82,1,0.5568,Mortgage Loan,0.0759,0,0.2874,0.1043
IDBI100050,Devika Rastogi,29,Shimla,Tier 3,self_employed,169854.96,138157.38,80,1,0.3511,Mortgage Loan,0.0392,0,0.2773,0.1102
IDBI100051,Raksha Varughese,42,Pune,Tier 1,self_employed,245172.59,157953.1,67,0,0.6509,Mortgage Loan,0.2142,0,0.1835,0.0
IDBI100052,Jai Kota,46,Lucknow,Tier 2,salaried,250000.0,243794.98,15,0,0.5412,Auto Loan,0.063,0,0.3804,0.0
IDBI100053,Devansh Nigam,40,Vadodara,Tier 2,self_employed,118201.03,71776.87,74,4,0.5064,Auto Loan,0.018,0,0.3755,0.2114
IDBI100054,Victor Kannan,37,Chennai,Tier 1,gig_worker,65022.04,65239.14,4,4,0.8186,Home Loan,0.0759,1,0.1942,0.184
IDBI100055,Ekavir Bhargava,46,Jalandhar,Tier 3,salaried,43088.46,42429.01,48,1,0.52,Home Loan,0.0573,0,0.2857,0.1081
IDBI100056,Ekansh Balay,35,Kochi,Tier 2,self_employed,293898.52,177878.49,39,0,0.3175,Mortgage Loan,0.0691,0,0.2641,0.0
IDBI100057,Ekavir Varkey,38,Kolkata,Tier 1,gig_worker,43472.44,27086.97,7,0,0.9591,Home Loan,0.2315,0,0.1786,0.0
IDBI100058,Arya Sunder,21,Coimbatore,Tier 2,self_employed,358125.96,237113.8,7,3,0.1314,Mortgage Loan,0.0134,0,0.2563,0.197
IDBI100059,Kevin Solanki,37,Hyderabad,Tier 1,salaried,139576.9,141976.13,3,0,0.5052,Home Loan,0.0759,0,0.3489,0.0
IDBI100060,Urvashi Ray,46,Moradabad,Tier 3,self_employed,129661.14,98396.39,39,0,0.5475,Home Loan,0.063,1,0.3009,0.0
IDBI100061,Girindra Chatterjee,21,Shimla,Tier 3,self_employed,400000.0,294690.78,10,2,0.1164,Home Loan,0.0061,0,0.4514,0.1662
IDBI100062,Irya Sampath,47,Mathura,Tier 3,salaried,135388.01,128922.82,11,2,0.6797,Home Loan,0.0474,0,0.285,0.1543
IDBI100063,Unni Bhagat,21,Kochi,Tier 2,self_employed,273434.79,254812.98,8,0,0.3454,Home Loan,0.0474,0,0.3086,0.0
IDBI100064,Darsh Rau,36,Hyderabad,Tier 1,salaried,205803.23,196479.65,6,1,0.3712,Home Loan,0.0241,0,0.3789,0.0987
IDBI100065,Ikbal Kothari,28,Guwahati,Tier 2,salaried,232861.72,236673.0,99,1,0.5515,Home Loan,0.0522,0,0.3637,0.0896
IDBI100066,Ranveer Yadav,34,Chennai,Tier 1,self_employed,234250.62,186978.03,41,1,0.4273,Mortgage Loan,0.0522,0,0.3275,0.1039
IDBI100067,Logan Sami,30,Shimla,Tier 3,salaried,121493.97,126964.08,21,0,0.7198,Mortgage Loan,0.1419,0,0.3468,0.0
IDBI100068,Arya Shere,46,Hyderabad,Tier 1,salaried,172986.57,168163.87,158,1,0.6519,Auto Loan,0.1419,0,0.2732,0.0937
IDBI100069,Faqid Savant,42,Jalandhar,Tier 3,gig_worker,39549.52,31027.72,71,3,0.5502,Mortgage Loan,0.0293,0,0.1948,0.1969
IDBI100070,Chandresh Zachariah,50,Delhi,Tier 1,salaried,87910.59,88257.76,56,1,0.5449,Auto Loan,0.0691,0,0.3498,0.0961
IDBI100071,Girik Khalsa,45,Rourkela,Tier 3,gig_worker,45046.63,32002.35,52,1,0.7947,Personal Loan,0.1192,0,0.2916,0.1063
IDBI100072,Niharika Sunder,53,Chennai,Tier 1,salaried,105868.09,104329.0,12,1,0.5995,Home Loan,0.0691,0,0.2836,0.0899
IDBI100073,Tanay Rattan,36,Siliguri,Tier 3,gig_worker,29119.18,22725.8,34,0,0.7178,Personal Loan,0.1192,1,0.1387,0.0
